idx,params_1,params_2,params_3,params_4,fitness,penalty,val_rmse,gen
17,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,7.0
18,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,7.0
19,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,7.0
20,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,7.0
21,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,7.0
22,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,7.0
23,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,7.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,7.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,7.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,7.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,7.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,7.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,8.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,8.0
2,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,8.0
3,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,8.0
5,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,8.0
6,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
7,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
8,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
9,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
10,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
11,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
12,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
13,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
14,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
15,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,8.0
16,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,8.0
17,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,8.0
18,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,8.0
19,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,8.0
20,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,8.0
21,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,8.0
22,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,8.0
23,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,8.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,8.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,8.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,8.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,8.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,8.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,8.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,9.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,9.0
2,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,9.0
3,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,9.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,9.0
5,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,9.0
6,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
7,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
8,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
9,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
10,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
11,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
12,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
13,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
14,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
15,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
16,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
17,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
18,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,9.0
19,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,9.0
20,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,9.0
21,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,9.0
22,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,9.0
23,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,9.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,9.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,9.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,9.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,9.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,9.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,9.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,10.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,10.0
2,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,10.0
3,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,10.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,10.0
5,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,10.0
6,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,10.0
7,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,10.0
8,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
9,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
10,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
11,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
12,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
13,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
14,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
15,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
16,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
17,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
18,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,10.0
19,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
20,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
21,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,10.0
22,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,10.0
23,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,10.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,10.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,10.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,10.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,10.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,10.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,10.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,11.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,11.0
2,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,11.0
3,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,11.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,11.0
5,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,11.0
6,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,11.0
7,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,11.0
8,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,11.0
9,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,11.0
10,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
11,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
12,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
13,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
14,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
15,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
16,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
17,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
18,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,11.0
19,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
20,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
21,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
22,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
23,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,11.0
24,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,11.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,11.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,11.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,11.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,11.0
29,5.0,168.0,4.0,2.0,7.96052952,0.17200000000000001,7.78852952,11.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,12.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,12.0
2,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,12.0
3,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,12.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,12.0
5,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,12.0
6,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,12.0
7,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,12.0
8,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,12.0
9,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,12.0
10,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
11,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,12.0
12,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
13,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
14,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
15,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
16,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
17,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
18,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,12.0
19,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
20,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
21,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
22,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
23,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,12.0
